-5KQ66BBWC4,942,0.661,0.461,0.997,0.996,1
-5KQ66BBWC4,1105,0.268,0.523,0.436,0.735,1
-5KQ66BBWC4,1106,0.263,0.515,0.404,0.729,1
-5KQ66BBWC4,1116,0.243,0.26,0.568,0.948,1
-5KQ66BBWC4,1118,0.272,0.228,0.611,0.947,1
-5KQ66BBWC4,1119,0.292,0.194,0.568,0.941,1
-5KQ66BBWC4,1153,0.307,0.386,0.551,0.997,1
-5KQ66BBWC4,1169,0.294,0.326,0.512,0.68,1
-5KQ66BBWC4,1170,0.28,0.348,0.526,0.664,1
-5KQ66BBWC4,1180,0.435,0.201,0.61,0.565,1
-5KQ66BBWC4,1181,0.402,0.151,0.519,0.551,1
-5KQ66BBWC4,1182,0.398,0.194,0.52,0.561,1
-5KQ66BBWC4,1185,0.248,0.508,0.395,0.855,1
-5KQ66BBWC4,1187,0.169,0.269,0.427,0.817,1
-5KQ66BBWC4,1198,0.067,0.163,0.551,1,1
-5KQ66BBWC4,1199,0.027,0.25,0.543,0.994,1
-5KQ66BBWC4,1200,0.055,0.3,0.868,0.972,1
-5KQ66BBWC4,1201,0.024,0.235,0.764,0.99,1
-5KQ66BBWC4,1202,0.017,0.111,0.528,0.995,1
-5KQ66BBWC4,1209,0,0.1,0.536,0.89,1
-5KQ66BBWC4,1210,0,0.142,0.581,0.935,1
-5KQ66BBWC4,1211,0.005,0.174,0.559,0.962,1
-5KQ66BBWC4,1212,0,0.106,0.344,0.736,1
-5KQ66BBWC4,1213,0,0.188,0.379,0.96,1
-5KQ66BBWC4,1214,0,0.189,0.383,0.971,1
-5KQ66BBWC4,1215,0.016,0.045,0.303,0.929,1
-5KQ66BBWC4,1216,0,0.164,0.6,0.989,1
-5KQ66BBWC4,1217,0.017,0.096,0.696,0.995,1
-5KQ66BBWC4,1218,0,0,0.454,0.965,1
-5KQ66BBWC4,1219,0,0.086,0.448,0.959,1
-5KQ66BBWC4,1220,0,0.006,0.267,0.957,1
-5KQ66BBWC4,1221,0,0.05,0.453,0.954,1
-5KQ66BBWC4,1222,0.006,0.182,0.445,1,1
-5KQ66BBWC4,1226,0.001,0.133,0.735,0.982,1
-5KQ66BBWC4,1227,0,0.058,0.685,0.967,1
-5KQ66BBWC4,1229,0.096,0.122,0.334,0.533,1
-5KQ66BBWC4,1243,0.3,0.193,0.524,0.729,1
-5KQ66BBWC4,1254,0.267,0.018,0.515,0.941,1
-5KQ66BBWC4,1255,0.195,0.013,0.714,0.925,1
-5KQ66BBWC4,1256,0.263,0.108,0.563,1,1
-5KQ66BBWC4,1257,0.279,0.107,0.609,0.592,1
-5KQ66BBWC4,1259,0.333,0.037,0.547,0.869,1
-5KQ66BBWC4,1260,0.361,0.028,0.6,0.962,1
-5KQ66BBWC4,1266,0.422,0.109,0.577,0.651,1
-5KQ66BBWC4,1269,0.454,0.122,0.997,0.994,1
-5KQ66BBWC4,1272,0.219,0.011,0.595,0.917,1
-5KQ66BBWC4,1273,0.317,0.129,0.677,0.681,1
-5KQ66BBWC4,1274,0.167,0,0.611,0.591,1
-5KQ66BBWC4,1275,0.337,0.018,0.633,0.812,1
-5KQ66BBWC4,1276,0.421,0.026,0.655,0.58,1
-5KQ66BBWC4,1277,0.462,0.021,0.694,0.69,1
-5KQ66BBWC4,1278,0.45,0.003,0.662,0.644,1
-5KQ66BBWC4,1283,0.197,0.378,0.788,1,1
-5KQ66BBWC4,1284,0.329,0.001,0.929,0.94,1
-5KQ66BBWC4,1289,0.427,0.181,0.78,0.976,1
-5KQ66BBWC4,1290,0.506,0.127,0.841,0.94,1
-5KQ66BBWC4,1302,0.197,0.023,0.916,0.995,1
-5KQ66BBWC4,1304,0.234,0.138,0.842,1,1
-5KQ66BBWC4,1308,0.078,0.608,0.426,0.999,1
-5KQ66BBWC4,1315,0.458,0.332,0.961,0.983,1
-5KQ66BBWC4,1316,0.477,0.397,0.931,0.985,1
-5KQ66BBWC4,1537,0.273,0.003,0.869,0.924,1
-5KQ66BBWC4,1543,0.352,0.013,0.863,0.887,1
-5KQ66BBWC4,1545,0.409,0.404,0.739,0.82,1
-5KQ66BBWC4,1546,0.333,0.278,0.773,0.79,1
